Customer_Name,Age,Gender,Visited_With_Family,Room_No,Num_Of_People,Reason_To_Visit,Room_Type,Cleanliness_Rating,Comfort_Rating,Staff_Performance,Facilities_Rating,Location_Rating,Overall_Satisfaction_Score
Ramu,62,Male,Yes,603,2,Education,Single Room,2,3,2,4,4,3
Smita,48,Female,No,503,1,Vacation,Single Room,1,5,4,4,4,3.6
Isha,33,Female,No,602,1,Education,Single Room,1,5,4,4,2,3.2
Keshav,25,Male,No,202,1,Travel,Single Room,5,2,5,2,3,3.4
Rohit,65,Female,Yes,1010,4,Vacation,Suite,2,3,2,3,5,3
Rohan,43,Male,Yes,906,4,Business,Suite,2,2,3,4,5,3.2
Nisha,32,Female,No,903,2,Business,Double Room,2,3,2,3,2,2.4
Neha,55,Female,No,1001,1,Travel,Single Room,5,5,1,5,1,3.4
Arnav,30,Male,Yes,606,2,Travel,Double Room,2,2,5,5,4,3.6
Sai,25,Male,Yes,708,3,Business,Suite,2,3,3,2,3,2.6
Palak,59,Female,No,904,2,Travel,Double Room,1,1,3,2,4,2.2
Swati,32,Female,No,302,1,Travel,Single Room,5,4,2,1,1,2.6
Karthik,34,Male,No,203,1,Business,Single Room,1,5,5,3,3,3.4
Pradeep,43,Male,Yes,101,2,Vacation,Single Room,5,5,2,4,1,3.4
Harsha,64,Female,Yes,505,3,Education,Double Room,1,2,3,5,1,2.4
Rachit,55,Male,No,109,2,Education,Double Room,1,2,4,2,1,2
Vijay,69,Male,Yes,107,3,Vacation,Double Room,5,1,5,4,2,3.4
Tarun,48,Male,No,207,2,Education,Double Room,2,5,3,3,5,3.6
Sai,49,Male,No,1008,3,Travel,Suite,2,1,2,4,2,2.2
Yash,31,Male,Yes,1009,4,Travel,Suite,4,1,3,1,4,2.6
Isha,67,Female,No,108,2,Business,Double Room,2,2,3,3,2,2.4
Preeti,41,Female,Yes,805,4,Business,Suite,2,4,5,3,2,3.2
Isha,22,Female,Yes,508,3,Travel,Suite,3,3,4,5,4,3.8
Sai,20,Male,Yes,406,3,Vacation,Double Room,4,3,1,2,5,3
Parvati,67,Female,No,206,2,Education,Double Room,1,1,1,4,1,1.6
Ravi,62,Male,No,205,1,Business,Single Room,2,4,1,4,3,2.8
Meera,33,Female,Yes,703,2,Travel,Single Room,1,4,1,2,2,2
Vijay,29,Male,No,902,1,Education,Single Room,3,4,3,5,2,3.4
Lalit,28,Male,Yes,105,2,Education,Single Room,4,1,5,2,3,3
Swati,63,Female,Yes,303,1,Business,Single Room,5,4,1,5,4,3.8
Vivaan,68,Male,No,903,2,Vacation,Double Room,4,2,4,5,3,3.6
Kavita,26,Female,Yes,301,1,Education,Single Room,2,1,3,4,2,2.4
Naina,24,Female,No,204,1,Business,Single Room,5,5,4,4,3,4.2
Riya,30,Female,No,408,3,Education,Suite,5,1,5,1,1,2.6
Bharat,46,Male,No,1001,1,Travel,Single Room,2,5,5,3,2,3.4
Rana,20,Male,No,1008,3,Travel,Suite,3,3,1,5,2,2.8
Indira,18,Female,Yes,302,2,Business,Single Room,1,2,1,4,1,1.8
Ananya,22,Female,No,904,2,Vacation,Double Room,4,4,5,1,3,3.4
Shivani,31,Female,Yes,109,2,Travel,Double Room,4,3,3,4,1,3
Anjali,30,Female,Yes,707,3,Education,Suite,3,4,4,4,3,3.6
Shreya,54,Female,Yes,108,2,Travel,Double Room,3,2,5,3,5,3.6
Vihaan,68,Male,Yes,210,3,Travel,Suite,4,2,5,4,4,3.8
Deepika,49,Female,No,1010,3,Vacation,Suite,2,5,2,4,3,3.2
Sanjay,26,Male,Yes,1010,3,Travel,Suite,2,2,5,1,5,3
Naveen,32,Male,Yes,903,2,Business,Double Room,2,5,1,2,4,2.8
Tanya,66,Female,Yes,905,4,Vacation,Suite,3,5,1,3,4,3.2
Anil,66,Male,Yes,903,2,Education,Double Room,5,1,1,3,1,2.2
Deepak,45,Male,No,705,2,Education,Double Room,4,2,4,2,4,3.2
Naveen,18,Female,Yes,408,3,Education,Suite,1,2,1,5,5,2.8
Aarav,27,Male,Yes,702,1,Vacation,Single Room,3,5,1,1,2,2.4
Ritika,70,Female,Yes,204,1,Business,Single Room,5,5,5,4,3,4.4
Kavita,57,Female,No,508,3,Education,Suite,2,3,4,5,5,3.8
Leela,26,Female,Yes,605,2,Education,Double Room,4,4,3,3,5,3.8
Tarun,26,Male,No,606,2,Education,Double Room,1,1,3,4,1,2
Deepak,20,Male,No,703,1,Vacation,Single Room,1,1,5,1,3,2.2
Bhavna,42,Female,Yes,202,2,Travel,Single Room,3,4,5,5,4,4.2
Pradeep,23,Male,Yes,303,2,Travel,Single Room,5,3,2,3,5,3.6
Vikas,40,Male,Yes,803,3,Travel,Double Room,1,1,5,2,3,2.4
Shreya,63,Male,Yes,1001,2,Education,Single Room,2,5,5,4,4,4
Puja,37,Female,No,202,1,Vacation,Single Room,4,5,4,2,1,3.2
Sneha,58,Female,Yes,1010,3,Business,Suite,5,2,2,5,1,3
Geeta,38,Female,Yes,208,3,Travel,Double Room,1,5,5,4,2,3.4
Indira,50,Female,No,210,3,Business,Suite,4,5,4,4,3,4
Ritika,34,Female,Yes,309,4,Business,Suite,5,4,4,4,3,4
Sunita,53,Female,No,704,1,Travel,Single Room,3,1,3,3,3,2.6
Smita,40,Female,No,110,2,Education,Double Room,3,2,3,3,4,3
Bhavna,18,Female,Yes,603,2,Vacation,Single Room,1,3,5,3,5,3.4
Tarun,34,Male,No,306,2,Business,Double Room,5,3,4,1,3,3.2
Swati,24,Female,No,702,1,Education,Single Room,3,5,4,3,1,3.2
Nikhil,22,Male,Yes,103,1,Vacation,Single Room,2,5,1,5,5,3.6
Ramu,61,Female,Yes,705,3,Education,Double Room,3,4,2,1,5,3
Sai,62,Male,Yes,104,1,Travel,Single Room,3,5,3,3,3,3.4
Yash,19,Male,Yes,405,3,Travel,Double Room,5,3,1,5,4,3.6
Nandini,69,Female,No,804,2,Vacation,Double Room,5,2,1,3,5,3.2
Sunita,39,Female,No,304,1,Travel,Single Room,4,5,2,1,2,2.8
Vijay,57,Male,Yes,703,2,Vacation,Single Room,1,4,5,3,4,3.4
Naveen,45,Male,No,607,3,Business,Suite,3,2,5,3,5,3.6
Ramu,63,Male,No,903,2,Travel,Double Room,5,5,1,5,5,4.2
Sharad,46,Male,No,1007,3,Vacation,Suite,3,3,1,4,2,2.6
Anushka,49,Female,No,604,1,Vacation,Single Room,2,2,5,5,1,3
Varun,27,Male,Yes,701,1,Business,Single Room,1,4,3,2,1,2.2
Sonia,32,Female,No,106,2,Education,Double Room,5,1,1,4,2,2.6
Isha,53,Female,No,703,1,Vacation,Single Room,2,3,5,5,5,4
Karthik,65,Male,Yes,304,2,Education,Single Room,1,3,2,4,5,3
Arjun,45,Male,Yes,408,4,Education,Suite,5,4,5,5,1,4
Leela,64,Female,Yes,708,3,Education,Suite,5,4,2,1,3,3
Suman,34,Female,No,503,1,Education,Single Room,4,3,4,2,2,3
Anjali,21,Female,No,801,1,Vacation,Single Room,4,3,3,1,5,3.2
Nandini,66,Female,Yes,108,3,Vacation,Double Room,5,5,4,1,4,3.8
Rahul,40,Male,Yes,905,3,Vacation,Suite,4,4,2,2,5,3.4
Rohan,65,Male,Yes,502,2,Business,Single Room,5,1,3,2,2,2.6
Rachit,21,Male,No,303,1,Vacation,Single Room,5,5,4,5,1,4
Sunita,59,Female,Yes,903,3,Vacation,Double Room,2,2,4,2,3,2.6
Amit,21,Male,Yes,904,3,Business,Double Room,5,2,1,1,4,2.6
